NOMBRE,BLOQUE,Coordenadas,LATS,LONGS
GESTIÓN DE BODEGAS Y ABASTECIMIENTO,9C,"-2.14725, -79.96693",-2.14725,-79.96693
ECONOMÍA MATEMÁTICA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
SISTEMAS DE INFORMACIÓN GEOGRÁFICA,FICT,"-2.14532, -79.96537",-2.14532,-79.96537
GESTIÓN HOTELERA,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
QUÍMICA ALIMENTARIA,12H,"-2.14423, -79.96633",-2.14423,-79.96633
ANÁLISIS MATEMÁTICO II,9M,"-2.14682, -79.96671",-2.14682,-79.96671
INGENIERÍA DE PROCESOS ALIMENTARIOS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
ORGANIZACIÓN DE COMPUTADORES,11A,"-2.14464, -79.96763",-2.14464,-79.96763
TALLER DE DISEÑO IV,11C,"-2.14565, -79.96656",-2.14565,-79.96656
MINERALOGÍA,13D,"-2.14554, -79.9648",-2.14554,-79.9648
ALIMENTOS Y BEBIDAS,14B,"-2.14361, -79.96212",-2.14361,-79.96212
MEZCLA DE SONIDO,14B,"-2.14361, -79.96212",-2.14361,-79.96212
ESTRUCTURAS Y MECANISMOS I,14B,"-2.14361, -79.96212",-2.14361,-79.96212
TÉCNICAS DE MANEJO COSTERO,5K,"-2.14675, -79.96303",-2.14675,-79.96303
PROCESOS DE MANUFACTURA,12C,"-2.14497, -79.96579",-2.14497,-79.96579
NARRATIVA AUDIOVISUAL,14B,"-2.14361, -79.96212",-2.14361,-79.96212
ELEMENTOS FINITOS,5K,"-2.14675, -79.96303",-2.14675,-79.96303
TELEMÁTICA Y TRANSFORMACIÓN DIGITAL,11B,"-2.14509, -79.96725",-2.14509,-79.96725
DISEÑO DIGITAL,14B,"-2.14361, -79.96212",-2.14361,-79.96212
REMEDIACIÓN AMBIENTAL,3D,"-2.15063, -79.95777",-2.15063,-79.95777
SERIES DE TIEMPO,8G,"-2.14859, -79.9672",-2.14859,-79.9672
PROGRAMACIÓN DE SISTEMAS TELEMÁTICOS,11B,"-2.14509, -79.96725",-2.14509,-79.96725
DISEÑO DE REDES CONMUTADAS,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
SISTEMAS DE COMUNICACIONES II,11A,"-2.14464, -79.96763",-2.14464,-79.96763
INTRODUCCIÓN A LAS ENERGÍAS RENOVABLES,13G,"-2.14587, -79.96552",-2.14587,-79.96552
INVESTIGACIÓN AUDIOVISUAL,14B,"-2.14361, -79.96212",-2.14361,-79.96212
TALLER DE DISEÑO I,14B,"-2.14361, -79.96212",-2.14361,-79.96212
MATERIALES Y MANUFACTURA III,14B,"-2.14361, -79.96212",-2.14361,-79.96212
REDES INALÁMBRICAS Y DE SENSORES,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
DISEÑO MECÁNICO,12C,"-2.14497, -79.96579",-2.14497,-79.96579
ADMINISTRACIÓN DE OPERACIONES,9B,"-2.14715, -79.96725",-2.14715,-79.96725
MATERIA INTEGRADORA DE ELECTRÓNICA Y AUTOMATIZACIÓN,11A,"-2.14464, -79.96763",-2.14464,-79.96763
INTRODUCCIÓN AL RAZONAMIENTO MATEMÁTICO,9I,"-2.14608, -79.96717",-2.14608,-79.96717
