NOMBRE,BLOQUE,Coordenadas,LATS,LONGS
PROCESAMIENTO DE LÁCTEOS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
PROYECTOS INDUSTRIALES,12H,"-2.14423, -79.96633",-2.14423,-79.96633
INTRODUCCIÓN A LA MECATRÓNICA,12H,"-2.14423, -79.96633",-2.14423,-79.96633
INGENIERÍA PORTUARIA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
NUTRICIÓN CLÍNICA III,3H,"-2.15229, -79.95582",-2.15229,-79.95582
ECUACIONES DIFERENCIALES,9M,"-2.14682, -79.96671",-2.14682,-79.96671
LENGUAJES DE PROGRAMACIÓN,11A,"-2.14464, -79.96763",-2.14464,-79.96763
ACTUADORES MECATRÓNICOS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
"PROCESAMIENTO DE CÁRNICOS, PESCADOS Y MARISCOS",12H,"-2.14423, -79.96633",-2.14423,-79.96633
DISEÑO DE PRODUCCIÓN,14B,"-2.14361, -79.96212",-2.14361,-79.96212
PROCESAMIENTO DIGITAL DE IMÁGENES,11A,"-2.14464, -79.96763",-2.14464,-79.96763
TURBOMAQUINARIA Y PLANTAS DE POTENCIA,12C,"-2.14497, -79.96579",-2.14497,-79.96579
FUNDAMENTOS DE ELECTRICIDAD Y SISTEMAS DIGITALES,11A,"-2.14464, -79.96763",-2.14464,-79.96763
SISTEMAS EMBEBIDOS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
MECÁNICA VECTORIAL,12C,"-2.14497, -79.96579",-2.14497,-79.96579
DISEÑO DE VÍAS,13H,"-2.14592, -79.96581",-2.14592,-79.96581
DIRECCIÓN DE ARTE,14B,"-2.14361, -79.96212",-2.14361,-79.96212
RESISTENCIA Y PROPULSIÓN DE BUQUES,5K,"-2.14675, -79.96303",-2.14675,-79.96303
METAHEURÍSTICAS,9C,"-2.14725, -79.96693",-2.14725,-79.96693
INTRODUCCIÓN A LA CIENCIA DE DATOS,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
